,1. open,2. high,3. low,4. close,5. volume
2022-06-30 15:55:00,223.4700,224.8330,222.9000,224.6630,1875411
2022-06-30 15:50:00,224.4900,225.3300,223.2200,223.5230,815790
2022-06-30 15:45:00,224.3330,225.3840,224.0860,224.5830,502200
2022-06-30 15:40:00,224.8170,225.3330,224.0120,224.3750,539589
2022-06-30 15:35:00,225.2120,225.6200,224.6700,224.8270,607200
2022-06-30 15:30:00,224.7670,225.4170,224.4070,225.2100,794388
2022-06-30 15:25:00,223.7320,224.9270,223.7320,224.8100,735468
2022-06-30 15:20:00,223.2530,224.0180,223.2130,223.7930,529839
2022-06-30 15:15:00,223.9800,223.9800,222.9550,223.2130,592758
2022-06-30 15:10:00,223.6570,224.0970,223.6290,223.9500,355035
2022-06-30 15:05:00,225.3170,225.3170,223.6270,223.6550,694698
2022-06-30 15:00:00,225.4170,225.6900,225.0870,225.2470,296631
2022-06-30 14:55:00,225.5870,225.6990,225.2030,225.4000,211383
2022-06-30 14:50:00,225.9600,225.9670,225.1470,225.6470,314322
2022-06-30 14:45:00,225.4530,226.0790,225.0870,225.9600,360591
2022-06-30 14:40:00,226.7300,226.7320,225.3830,225.4680,497685
2022-06-30 14:35:00,226.7800,227.0110,226.3330,226.7270,287238
2022-06-30 14:30:00,226.9190,227.0800,226.3780,226.7230,199014
2022-06-30 14:25:00,226.7070,227.2700,226.1130,226.8230,380907
2022-06-30 14:20:00,227.6270,227.7870,226.5630,226.6170,419265
2022-06-30 14:15:00,227.2500,227.7470,227.0000,227.5950,198450
2022-06-30 14:10:00,227.4080,228.0830,227.2170,227.2500,307743
2022-06-30 14:05:00,227.9670,228.1630,227.1670,227.4000,287241
2022-06-30 14:00:00,228.0000,228.1180,227.5000,228.0270,232749
2022-06-30 13:55:00,228.2230,228.2670,227.5900,227.8870,305346
2022-06-30 13:50:00,227.8930,228.5670,227.8330,228.2270,584787
2022-06-30 13:45:00,226.7330,227.9630,226.7070,227.8730,475236
2022-06-30 13:40:00,227.2330,227.8830,226.6330,226.7300,515991
2022-06-30 13:35:00,227.0550,227.6100,227.0170,227.2880,291489
2022-06-30 13:30:00,227.1030,227.5000,226.8660,227.0120,466962
2022-06-30 13:25:00,227.1300,227.3770,226.8670,227.1300,283566
2022-06-30 13:20:00,226.7370,227.2270,226.4330,227.1350,435966
2022-06-30 13:15:00,226.1250,226.7230,226.0040,226.6090,309198
2022-06-30 13:10:00,226.9500,226.9570,225.9370,226.1330,593694
2022-06-30 13:05:00,228.0930,228.2200,226.8070,226.9020,489606
2022-06-30 13:00:00,227.6400,228.6670,227.6000,228.1580,544431
2022-06-30 12:55:00,228.0570,228.3230,227.1870,227.6770,436146
2022-06-30 12:50:00,227.6340,228.1170,227.1930,228.0650,343488
2022-06-30 12:45:00,228.1470,228.7790,227.5100,227.5720,552876
2022-06-30 12:40:00,227.5380,228.2630,227.2000,228.0500,406086
2022-06-30 12:35:00,228.2780,228.3370,227.1830,227.5530,577569
2022-06-30 12:30:00,227.8500,229.4570,227.8500,228.2800,1004880
2022-06-30 12:25:00,227.9270,228.5000,227.7000,227.9130,705801
2022-06-30 12:20:00,226.9130,228.1200,226.5970,227.8900,869532
2022-06-30 12:15:00,226.4100,227.2270,225.5500,226.9100,698184
2022-06-30 12:10:00,225.7930,226.4640,225.5200,226.1830,583530
2022-06-30 12:05:00,227.4730,227.5520,225.5730,225.8970,794127
2022-06-30 12:00:00,228.6230,228.6600,227.0200,227.4130,550548
2022-06-30 11:55:00,227.9000,228.9830,226.9770,228.6460,876393
2022-06-30 11:50:00,227.7820,227.9900,227.0400,227.9900,654117
2022-06-30 11:45:00,226.2680,228.5030,226.1130,227.8000,987219
2022-06-30 11:40:00,226.1080,226.5390,225.3670,226.2970,760056
2022-06-30 11:35:00,226.0600,226.2200,225.4000,226.0820,636858
2022-06-30 11:30:00,227.1030,227.3330,225.8330,226.0200,989511
2022-06-30 11:25:00,226.2840,228.0830,226.0030,227.0670,1119477
2022-06-30 11:20:00,224.4030,226.6670,224.4030,226.2500,1402092
2022-06-30 11:15:00,223.7270,225.1130,223.6270,224.4130,1017285
2022-06-30 11:10:00,222.8870,224.6070,222.8630,223.6970,1178316
2022-06-30 11:05:00,221.5580,223.0600,221.4400,222.9300,709467
2022-06-30 11:00:00,221.9240,221.9570,221.1670,221.5130,615978
2022-06-30 10:55:00,220.9230,222.0730,220.7070,221.9200,864783
2022-06-30 10:50:00,220.0180,221.3530,219.5730,220.9830,782439
2022-06-30 10:45:00,219.0570,220.0900,218.8630,220.0000,710247
2022-06-30 10:40:00,220.0530,220.2940,218.9330,219.0370,740949
2022-06-30 10:35:00,221.1820,221.3730,219.9030,219.9310,710541
2022-06-30 10:30:00,219.8100,221.4170,219.5000,221.2180,1275810
2022-06-30 10:25:00,221.1900,221.7300,219.7030,219.8770,1329888
2022-06-30 10:20:00,222.5310,222.5400,220.6670,221.2630,919476
2022-06-30 10:15:00,223.0920,223.5470,221.8900,222.4890,907854
2022-06-30 10:10:00,222.1200,223.1630,221.3270,223.1170,1150986
2022-06-30 10:05:00,222.5770,223.0300,221.8670,222.1600,1039146
2022-06-30 10:00:00,224.4270,224.6570,222.4170,222.5000,1330830
2022-06-30 09:55:00,224.5030,225.3270,223.7600,224.4750,718062
2022-06-30 09:50:00,225.8770,226.4930,223.8670,224.5670,1257372
2022-06-30 09:45:00,224.2070,226.8650,223.3600,225.8730,1733937
2022-06-30 09:40:00,223.5230,225.7760,223.3800,224.5000,1391703
2022-06-30 09:35:00,226.8370,229.1330,223.0830,223.5800,1927755
2022-06-30 09:30:00,224.6600,227.8000,224.0030,226.7930,2798151
2022-06-29 15:55:00,227.7890,228.9470,227.7800,228.4670,1093116
2022-06-29 15:50:00,227.5000,227.9270,227.1000,227.8100,583344
2022-06-29 15:45:00,227.6670,227.8300,227.1000,227.4500,357681
2022-06-29 15:40:00,227.5750,227.7700,227.0830,227.6360,317034
2022-06-29 15:35:00,227.6230,227.7470,227.1300,227.5950,395814
2022-06-29 15:30:00,228.9670,229.0100,227.4550,227.6470,441267
2022-06-29 15:25:00,228.2800,229.0630,228.1370,229.0030,608550
